,id,text,created_at,retweet_count,favorite_count,source,country,user_id,user_screen_name,user_name,user_created_at,user_followers_count,user_friends_count,user_location
93,1027600571530969088,Congressman Ted Yoho of Florida is doing a fantastic job and has my complete and total Endorsement! Tough on Crime… ,2018-08-09 17:00:42,18211,77714,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
94,1027586174448218113,Space Force all the way!,2018-08-09 16:03:30,38041,144840,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
95,1027585937163931648,This is an illegally brought Rigged Witch Hunt run by people who are totally corrupt and/or conflicted. It was star… ,2018-08-09 16:02:33,26445,101529,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
96,1027545694201159680,“There has been no evidence whatsoever that Donald Trump or the campaign was involved in any kind of collusion to f… ,2018-08-09 13:22:39,26362,100517,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
97,1027266105797238791,RED WAVE!,2018-08-08 18:51:39,32186,135427,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
98,1027255049670549504,"Congratulations to  of Michigan on a job well done. Also, thanks for your great support!",2018-08-08 18:07:43,11358,61484,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
99,1027214330503352320,"As long as I campaign and/or support Senate and House candidates (within reason), they will win! I LOVE the people,… ",2018-08-08 15:25:55,21448,95335,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
100,1027211440225243137,"The Republicans have now won 8 out of 9 House Seats, yet if you listen to the Fake News Media you would think we ar… ",2018-08-08 15:14:26,36088,152851,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
101,1027200569096765441,5 for 5!,2018-08-08 14:31:14,19666,95165,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
102,1027048797644439553,Congratulations to Josh Hawley on your big Senate Primary win in Missouri. I look forward to working with you towar… ,2018-08-08 04:28:09,16130,77011,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
103,1027039880105414656,Congratulations to Bill Schuette. You will have a Big win in November and be a tremendous Governor for the Great St… ,2018-08-08 03:52:43,16435,80650,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
104,1027032629063892993,"Congratulations to a future STAR of the Republican Party, future Senator John James. A big and bold victory tonight… ",2018-08-08 03:23:54,23721,107565,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
105,1027031293220061184,.....Congratulations to Troy Balderson on a great win in Ohio. A very special and important race!,2018-08-08 03:18:36,16808,83489,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
